"Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","xAG","xA","A_minus_xAG","KP","Final_Third","PPA","CrsPA","PrgP","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","TO_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","TO_GCA","Sh_GCA","Fld_GCA","Def_GCA","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","On_minus_Off_Team.Success..xG","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","market_value_2021","market_value_2022"
"Dortmund","Bundesliga","Manuel Akanji","SUI","DF","26",1995,26,25,2261,25.1,1,0,1,1,0,0,3,0,1.9,1.9,0.1,2,18,115,8,0.04,0,0.04,0.04,0.04,0.08,0,0.08,0.08,0.08,1,13,3,23.1,0.52,0.12,0.08,0.33,11.2,1,0,0,0.15,-0.9,-0.9,1819,2013,90.4,36320,13836,585,629,93,973,1018,95.6,235,314,74.8,0.1,0.7,-0.1,2,122,2,0,115,2013,1944,66,59,1,26,3,7,0,0,0,0,1819,3,10,16,0.64,12,2,1,1,0,0,1,0.04,1,0,0,0,0,0,33,23,20,11,2,22,32,68.8,10,26,15,11,35,68,58,0,2195,198,963,1182,65,21,2195,9,8,88.9,1,11.1,1517,7984,4478,18,12,0,8,1,1649,8,26,2261,87,73.9,25.1,25,89,23,1,45,0,2,64,44,20,0.8,-0.67,47.9,38,10,0.4,-0.48,0,19,24,1,3,23,0,0,1,164,51,35,59.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000000,30000000
"Dortmund","Bundesliga","Jude Bellingham","ENG","MF","18",2003,32,32,2790,31,3,8,11,3,0,0,9,0,4.8,4.8,6,10.8,78,144,138,0.1,0.26,0.35,0.1,0.35,0.15,0.19,0.35,0.15,0.35,3,44,12,27.3,1.42,0.39,0.07,0.25,18.1,0,0,0,0.11,-1.8,-1.8,1256,1517,82.8,19850,4875,650,723,89.9,437,504,86.7,102,156,65.4,6,4.6,2,38,104,37,3,144,1517,1475,33,23,12,18,14,9,1,0,0,0,1256,9,25,104,3.35,72,0,13,5,11,3,17,0.55,11,0,2,0,2,2,52,34,15,31,6,21,53,39.6,32,50,4,46,42,94,32,0,1959,48,331,1124,515,84,1959,96,55,57.3,41,42.7,1242,6020,2770,78,44,23,82,62,1499,138,32,2790,87,91.2,31,32,87,27,0,NA,0,2.06,76,46,30,0.97,-0.03,58.5,41.4,17.1,0.55,0.32,0,39,91,5,14,34,0,0,0,178,28,42,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55000000,80000000
"Dortmund","Bundesliga","Julian Brandt","GER","MF,FW","25",1996,31,22,2078,23.1,9,8,17,9,0,0,3,0,4.9,4.9,4.6,9.4,66,126,171,0.39,0.35,0.74,0.39,0.74,0.21,0.2,0.41,0.21,0.41,9,34,15,44.1,1.47,0.65,0.26,0.6,17.1,0,0,0,0.14,4.1,4.1,1022,1324,77.2,15112,4257,564,655,86.1,312,379,82.3,74,155,47.7,4.6,6.3,3.4,44,72,40,6,126,1324,1202,117,17,7,5,128,11,89,38,40,0,1022,5,22,97,4.2,60,26,7,4,0,0,22,0.95,14,5,2,1,0,0,37,19,13,20,4,17,54,31.5,37,19,2,17,24,61,14,1,1575,24,178,788,622,50,1575,65,38,58.5,27,41.5,929,5020,2137,66,50,19,58,31,1148,171,31,2078,67,67.9,23.1,22,81,8,9,34,0,2.03,63,33,30,1.3,1.02,47.4,29.9,17.5,0.76,0.74,0,12,16,2,128,19,0,0,0,129,15,24,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000000,25000000
"Dortmund","Bundesliga","Roman Bürki","SUI","GK","30",1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,16,23,69.6,262,207,8,8,100,7,7,100,1,8,12.5,0,0,0,0,0,0,0,0,23,20,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,24,14,23,1,0,0,24,0,0,NA,0,NA,11,59,27,0,0,0,0,0,10,0,1,90,90,2.9,1,1,90,1,0,NA,2,3,2,1,1,1,0.03,1.3,1,0.4,0.38,-0.15,0,0,0,0,0,0,0,0,0,6,0,0,NA,1,1,1,0,100,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,-0.01,0,7,0,20,3,30,28.1,3,33.3,34.3,5,0,0,5,5,27.3,4000000,1500000
"Dortmund","Bundesliga","Jamie Bynoe-Gittens","ENG","FW","16",2004,4,1,134,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,8,7,18,0,0,0,0,0,0.26,0.07,0.34,0.26,0.34,0,1,1,100,0.67,0.67,0,0,13.4,0,0,0,0.39,-0.4,-0.4,29,43,67.4,409,179,21,24,87.5,7,15,46.7,1,2,50,0.1,0.6,-0.1,2,2,3,0,7,43,40,2,1,2,0,0,1,0,0,0,0,29,1,0,3,2.01,3,0,0,0,0,0,1,0.67,1,0,0,0,0,0,3,2,0,2,1,2,5,40,3,4,1,3,1,4,1,0,72,3,8,27,39,7,72,21,13,61.9,8,38.1,56,456,209,8,7,4,6,5,59,18,4,134,34,4.4,1.5,1,62,0,3,24,1,1.5,5,3,2,1.34,0.39,5,1.7,3.4,2.25,1.81,0,2,6,0,0,2,0,0,0,5,2,2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000000
"Dortmund","Bundesliga","Emre Can","GER","DF,MF","27",1994,24,19,1690,18.8,5,1,6,1,4,4,5,0,3.3,0.2,0.8,1,31,119,19,0.27,0.05,0.32,0.05,0.11,0.18,0.04,0.22,0.01,0.05,5,7,2,28.6,0.37,0.11,0.14,0.5,30.6,0,4,4,0.03,1.7,0.8,1223,1436,85.2,22156,7240,507,554,91.5,575,637,90.3,118,193,61.1,0.8,1.4,0.2,6,82,7,0,119,1436,1367,65,29,1,9,7,35,0,0,0,0,1223,4,11,16,0.85,13,0,1,0,1,1,1,0.05,1,0,0,0,0,0,36,22,20,16,0,15,30,50,15,26,10,16,36,72,40,2,1647,104,553,946,160,17,1643,27,18,66.7,9,33.3,1006,4937,2354,31,26,3,22,9,1140,19,24,1690,70,55.2,18.8,19,84,14,5,19,0,2.13,45,22,23,1.22,0.57,33.9,23,10.9,0.58,0.13,0,32,21,1,7,22,0,0,0,166,31,15,67.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26000000,16000000
"Dortmund","Bundesliga","Mahmoud Dahoud","GER","MF","25",1996,22,20,1658,18.4,2,3,5,2,0,0,7,1,1.2,1.2,3,4.3,28,116,46,0.11,0.16,0.27,0.11,0.27,0.07,0.16,0.23,0.07,0.23,2,22,4,18.2,1.19,0.22,0.09,0.5,23.7,0,0,0,0.06,0.8,0.8,833,1063,78.4,13856,4284,398,456,87.3,323,390,82.8,72,127,56.7,3,3.3,0,28,87,24,2,116,1063,1031,28,13,15,12,29,2,13,5,5,0,833,4,24,52,2.82,43,4,3,0,0,2,6,0.33,5,0,0,0,0,1,42,19,10,24,8,20,46,43.5,26,18,3,15,17,59,16,0,1263,43,235,745,296,24,1263,41,26,63.4,15,36.6,711,3499,1624,28,24,6,31,13,877,46,22,1658,75,54.2,18.4,20,79,12,2,38,1,2,52,31,21,1.14,0.37,34.9,24.5,10.4,0.57,0.1,1,23,13,0,29,19,0,0,0,142,11,15,42.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16000000,18000000
"Dortmund","Bundesliga","Thomas Delaney","DEN","MF","29",1991,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,8,11,72.7,80,23,5,6,83.3,1,2,50,0,1,0,0,0,0,0,1,0,0,1,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,14,0,2,10,2,0,14,1,0,0,1,100,5,8,1,0,0,0,0,0,8,0,1,18,18,0.6,0.2,0,NA,0,1,18,1,3,0,1,-1,-5,-6.01,0.1,0.7,-0.6,-3.02,-3.56,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000000,7000000
"Dortmund","Bundesliga","Raphaël Guerreiro","POR","DF","27",1993,23,21,1795,19.9,4,2,6,3,1,1,1,0,2.9,2.1,2.1,4.2,61,118,95,0.2,0.1,0.3,0.15,0.25,0.14,0.1,0.25,0.1,0.21,4,32,10,31.3,1.6,0.5,0.09,0.3,25.4,8,1,1,0.06,1.1,0.9,1294,1525,84.9,17644,6995,795,872,91.2,391,453,86.3,49,91,53.8,2.1,2.7,-0.1,28,96,22,5,118,1525,1324,196,39,2,2,39,140,17,4,8,1,1294,5,22,59,2.96,40,13,2,4,0,0,11,0.55,9,0,0,2,0,0,35,19,19,12,4,16,31,51.6,15,18,2,16,25,60,14,1,1724,44,419,866,452,29,1723,49,26,53.1,23,46.9,1016,4823,2717,61,52,7,30,13,1205,95,23,1795,78,58.7,19.9,21,82,10,2,36,0,1.78,45,36,9,0.45,-1.26,32.5,25.6,6.9,0.35,-0.42,0,12,8,1,39,19,0,0,0,130,5,6,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000000,25000000
"Dortmund","Bundesliga","Erling Haaland","NOR","FW","21",2000,24,21,1911,21.2,22,8,30,16,6,6,3,0,17.9,13.2,5.4,18.6,40,41,137,1.04,0.38,1.41,0.75,1.13,0.84,0.25,1.1,0.62,0.88,22,74,31,41.9,3.49,1.46,0.22,0.52,13.9,0,6,6,0.18,4.1,2.8,331,476,69.5,3628,787,210,266,78.9,70,109,64.2,2,4,50,5.4,5,2.6,23,14,24,1,41,476,416,55,0,3,0,8,3,0,0,0,0,331,5,17,61,2.87,44,0,6,8,3,0,16,0.75,11,0,3,2,0,0,2,1,0,1,1,0,1,0,1,8,1,7,1,3,31,0,701,31,52,290,365,149,695,24,13,54.2,11,45.8,334,1437,754,40,15,24,58,16,511,137,24,1911,80,62.5,21.2,21,87,14,3,27,0,2.08,58,38,20,0.94,-0.08,42.2,28.8,13.4,0.63,0.29,0,17,14,14,8,1,0,0,0,40,38,27,58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130000000,150000000
"Dortmund","Bundesliga","Thorgan Hazard","BEL","FW,DF","28",1993,23,14,1337,14.9,4,1,5,4,0,0,2,0,2.6,2.6,2,4.6,37,44,131,0.27,0.07,0.34,0.27,0.34,0.18,0.14,0.31,0.18,0.31,4,22,6,27.3,1.48,0.4,0.18,0.67,15.8,2,0,0,0.12,1.4,1.4,613,835,73.4,8877,2325,360,422,85.3,164,230,71.3,45,90,50,2,3.7,-1,22,22,15,3,44,835,716,115,14,1,13,71,65,36,14,18,0,613,4,25,43,2.89,28,5,5,2,3,0,4,0.27,1,0,2,1,0,0,23,13,8,10,5,15,40,37.5,25,23,1,22,6,29,4,0,990,18,151,435,411,53,990,42,23,54.8,19,45.2,522,2611,1178,37,22,14,23,17,651,131,23,1337,58,43.7,14.9,14,78,6,9,28,0,2.09,32,17,15,1.01,0.07,24.2,18,6.3,0.42,-0.18,0,22,19,11,71,13,0,0,0,77,23,21,52.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27000000,15000000
"Dortmund","Bundesliga","Marwin Hitz","SUI","GK","33",1987,5,4,405,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,155,177,87.6,3923,2648,35,36,97.2,74,75,98.7,45,65,69.2,0,0,0,0,1,0,0,0,177,139,38,8,0,0,0,0,0,0,0,0,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,0,191,162,190,2,0,0,191,0,0,NA,0,NA,109,483,269,0,0,0,0,0,92,0,5,405,81,13.2,4.5,4,90,4,1,45,28,1.2,10,12,-2,-0.44,-1.63,8.7,7,1.7,0.38,-0.17,0,0,0,0,0,0,0,0,0,12,0,1,0,12,2.67,25,13,60,1,0,3,0,0,2,2,0,0,0,12,2,0,1,0,8.6,0.27,-3.4,-0.76,16,32,50,147,31,18.4,27.7,30,16.7,28.2,54,3,5.6,9,2,20.6,1700000,1000000
"Dortmund","Bundesliga","Mats Hummels","GER","DF","32",1988,23,20,1765,19.6,1,2,3,1,0,0,4,0,0.9,0.9,0.7,1.6,18,78,4,0.05,0.1,0.15,0.05,0.15,0.05,0.04,0.08,0.05,0.08,1,12,3,25,0.61,0.15,0.08,0.33,9.7,0,0,0,0.08,0.1,0.1,1333,1530,87.1,27073,9577,376,413,91,784,859,91.3,159,215,74,0.7,0.9,1.3,3,57,5,0,78,1530,1480,47,40,5,8,1,5,0,0,0,0,1333,3,12,14,0.71,10,1,0,2,1,0,4,0.2,3,0,0,1,0,0,34,22,20,13,1,20,36,55.6,16,18,13,5,32,66,66,1,1711,169,834,841,47,15,1711,8,6,75,2,25,1043,5154,2909,18,11,0,12,2,1165,4,23,1765,77,57.7,19.6,20,85,15,3,21,1,2.09,48,23,25,1.27,0.72,34.6,26.7,8,0.41,-0.27,0,16,12,1,1,22,0,2,0,128,64,34,65.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12000000,6500000
"Dortmund","Bundesliga","Ansgar Knauff","GER","FW,MF","19",2002,5,0,114,1.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,2,12,0,0,0,0,0,0.03,0.08,0.11,0.03,0.11,0,1,0,0,0.79,0,0,NA,15.8,0,0,0,0.03,0,0,18,36,50,216,35,13,21,61.9,3,7,42.9,1,4,25,0.1,0.1,-0.1,1,0,2,0,2,36,36,0,0,0,0,0,0,0,0,0,0,18,0,1,3,2.37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,4,0,4,2,0,2,0,3,4,0,68,3,15,19,34,6,68,13,4,30.8,9,69.2,38,312,132,4,2,2,6,0,41,12,5,114,23,3.7,1.3,0,NA,0,5,23,10,1.8,2,1,1,0.79,-0.19,2.1,2.6,-0.5,-0.38,-0.94,0,4,1,1,0,1,0,0,0,3,3,2,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000000,10000000
"Dortmund","Bundesliga","Gregor Kobel","SUI","GK","23",1997,29,29,2565,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,840,1024,82,19421,12069,215,215,100,444,448,99.1,173,349,49.6,0,0,0,0,7,0,0,1,1024,784,237,52,0,0,0,0,0,0,0,0,840,3,0,4,0.14,2,2,0,0,0,0,1,0.04,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,20,0,1101,934,1096,5,0,0,1101,0,0,NA,0,NA,652,3204,1602,0,0,0,2,0,561,0,29,2565,88,83.8,28.5,29,88,28,0,NA,0,2.17,73,39,34,1.19,1.37,54,38.3,15.7,0.55,0.18,0,1,6,0,0,0,0,1,0,71,3,0,100,39,1.37,110,73,67.3,20,3,6,7,24.1,3,3,0,0,0,39,3,2,5,2,37.3,0.32,0.3,0.01,77,240,32.1,836,142,20.5,27.5,185,37.3,35.4,343,17,5,49,1.72,16.1,13000000,22000000
"Dortmund","Bundesliga","Donyell Malen","NED","FW","22",1999,27,20,1684,18.7,5,3,8,5,0,0,2,0,4.6,4.6,4.1,8.6,61,39,144,0.27,0.16,0.43,0.27,0.43,0.24,0.22,0.46,0.24,0.46,5,47,21,44.7,2.51,1.12,0.11,0.24,16.5,0,0,0,0.1,0.4,0.4,394,542,72.7,4863,1149,241,308,78.2,95,137,69.3,13,24,54.2,4.1,2.1,-1.1,21,19,18,5,39,542,511,29,1,2,2,27,7,3,0,1,0,394,2,13,63,3.37,39,0,8,8,8,0,12,0.64,6,0,1,3,2,0,13,10,4,5,4,7,13,53.8,6,10,0,10,10,23,11,0,757,14,71,284,411,92,757,54,34,63,20,37,490,2984,1405,61,34,33,53,27,578,144,27,1684,62,55,18.7,20,76,3,7,23,0,2.07,44,25,19,1.02,0.1,30.8,25.2,5.6,0.3,-0.5,0,10,31,9,27,10,2,0,0,62,9,18,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000000,27000000
"Dortmund","Bundesliga","Lennard Maloney","USA","DF","21",1999,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,13,16,81.3,267,83,5,5,100,6,6,100,2,5,40,0,0.1,0,1,1,1,1,1,16,15,1,0,0,0,1,1,0,0,0,0,13,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,100,0,0,0,0,0,1,0,0,19,2,11,6,2,0,19,0,0,NA,0,NA,13,36,14,0,0,0,0,0,14,0,2,9,5,0.3,0.1,0,NA,0,2,5,2,3,0,0,0,0,-0.97,0.1,0.1,0,0.04,-0.48,0,0,0,0,1,0,0,0,0,1,1,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200000,350000
"Dortmund","Bundesliga","Thomas Meunier","BEL","DF","29",1991,17,17,1402,15.6,2,4,6,2,0,0,4,0,1,1,3.1,4.1,56,83,88,0.13,0.26,0.39,0.13,0.39,0.07,0.2,0.26,0.07,0.26,2,18,6,33.3,1.16,0.39,0.11,0.33,14.3,0,0,0,0.06,1,1,897,1155,77.7,14520,5543,443,498,89,354,453,78.1,70,130,53.8,3.1,2.9,0.9,15,62,25,15,83,1155,1005,143,8,2,6,45,135,0,0,0,0,897,7,24,31,1.99,27,0,0,2,2,0,8,0.51,7,0,0,0,1,0,29,19,13,12,4,16,33,48.5,17,10,2,8,12,41,25,1,1287,40,357,623,318,29,1287,15,10,66.7,5,33.3,757,4080,2256,56,45,5,26,11,847,88,17,1402,82,45.8,15.6,17,82,12,0,NA,1,2,39,27,12,0.77,-0.37,27,23.7,3.3,0.21,-0.57,0,27,7,1,45,19,0,0,0,121,24,10,70.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12000000,6500000
"Dortmund","Bundesliga","Youssoufa Moukoko","GER","FW,MF","16",2004,16,1,223,2.5,2,0,2,2,0,0,1,0,1.5,1.5,0.1,1.7,2,4,14,0.81,0,0.81,0.81,0.81,0.61,0.06,0.67,0.61,0.67,2,8,3,37.5,3.23,1.21,0.25,0.67,14.4,0,0,0,0.19,0.5,0.5,30,34,88.2,415,36,14,17,82.4,13,14,92.9,0,0,NA,0.1,0.1,-0.1,2,3,0,0,4,34,30,4,0,0,0,0,0,0,0,0,0,30,0,0,5,2.01,4,0,0,1,0,0,1,0.4,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,5,0,5,3,4,0,0,76,0,4,35,37,13,76,7,0,0,7,100,44,225,60,2,2,1,8,5,50,14,16,223,14,7.3,2.5,1,56,0,15,11,7,1.75,7,5,2,0.81,-0.18,6.2,4.5,1.7,0.68,0.17,0,5,5,5,0,0,0,0,0,6,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18000000,15000000
"Dortmund","Bundesliga","Antonios Papadopoulos","GER","DF,MF","21",1999,2,0,17,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,9,11,81.8,193,50,2,2,100,4,4,100,2,4,50,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,0,13,0,6,7,0,0,13,0,0,NA,0,NA,11,49,1,0,0,0,1,0,12,0,2,17,9,0.6,0.2,0,NA,0,2,9,9,1.5,0,1,-1,-5.29,-6.3,0.1,0.6,-0.5,-2.41,-2.95,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250000,350000
"Dortmund","Bundesliga","Felix Passlack","GER","DF","23",1998,10,5,472,5.2,1,0,1,1,0,0,0,0,0.1,0.1,0.2,0.4,13,23,28,0.19,0,0.19,0.19,0.19,0.03,0.04,0.07,0.03,0.07,1,3,1,33.3,0.57,0.19,0.33,1,16.7,0,0,0,0.05,0.9,0.9,291,364,79.9,4481,1498,158,176,89.8,106,134,79.1,18,38,47.4,0.2,0.4,-0.2,2,19,6,0,23,364,306,58,0,0,1,13,58,0,0,0,0,291,0,6,7,1.33,6,0,0,0,1,0,0,0,0,0,0,0,0,0,13,9,8,4,1,6,12,50,6,5,1,4,4,17,7,0,418,8,101,223,95,7,418,7,3,42.9,4,57.1,223,1189,547,13,13,0,8,2,269,28,10,472,47,15.4,5.2,5,78,2,5,17,17,1.9,12,9,3,0.57,-0.47,10.6,8.4,2.2,0.42,-0.12,0,5,8,1,13,9,0,0,1,27,1,3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500000,1500000
